,0,1
36505,36505,3
88914,88914,0
75906,75906,3
29291,29291,0
45522,45522,3
107477,107477,3
109098,109098,0
133644,133644,0
72517,72517,3
124038,124038,3
24963,24963,3
22988,22988,0
87898,87898,3
120195,120195,3
133163,133163,0
91436,91436,0
12475,12475,0
55466,55466,3
128434,128434,3
34156,34156,0
6976,6976,3
54791,54791,3
57910,57910,3
94899,94899,0
43886,43886,1
46341,46341,0
81375,81375,0
57008,57008,3
72051,72051,0
109172,109172,0
105502,105502,3
3615,3615,3
78123,78123,0
82286,82286,3
119887,119887,0
120776,120776,1
43091,43091,0
30830,30830,0
28499,28499,3
52834,52834,0
101775,101775,0
64782,64782,3
18814,18814,3
29979,29979,0
117084,117084,0
81030,81030,1
4059,4059,3
26202,26202,3
84237,84237,0
88570,88570,3
32534,32534,0
72077,72077,0
19034,19034,0
72533,72533,0
83738,83738,3
76938,76938,0
20216,20216,3
27733,27733,3
13072,13072,0
123403,123403,0
102972,102972,0
77940,77940,3
58067,58067,3
83861,83861,0
65511,65511,0
100606,100606,0
115751,115751,0
127066,127066,3
84236,84236,1
82271,82271,3
16763,16763,0
51751,51751,3
117966,117966,1
67372,67372,3
59357,59357,3
16816,16816,3
90580,90580,0
17029,17029,3
95238,95238,0
32594,32594,0
37753,37753,0
47840,47840,0
72704,72704,0
114216,114216,1
128367,128367,0
10056,10056,3
53375,53375,1
38834,38834,3
119376,119376,1
18765,18765,3
21276,21276,0
125963,125963,0
130978,130978,0
96846,96846,2
6382,6382,3
121285,121285,0
67220,67220,3
27221,27221,1
4422,4422,3
5658,5658,3
133232,133232,3
13996,13996,0
22630,22630,0
11405,11405,1
65652,65652,3
129431,129431,0
19591,19591,0
16446,16446,0
28101,28101,3
58762,58762,1
100301,100301,0
40952,40952,0
7834,7834,3
52309,52309,0
46199,46199,3
111495,111495,0
46171,46171,0
39586,39586,0
76282,76282,0
77031,77031,0
44918,44918,3
80276,80276,1
49980,49980,0
105375,105375,4
74924,74924,3
107146,107146,3
113188,113188,3
123091,123091,0
24661,24661,3
86564,86564,3
115710,115710,3
115254,115254,3
42436,42436,0
9810,9810,0
47304,47304,3
93519,93519,0
112249,112249,3
72486,72486,0
46609,46609,1
17488,17488,3
121110,121110,3
107208,107208,0
113876,113876,0
104322,104322,0
66816,66816,0
100460,100460,0
120091,120091,3
128918,128918,3
2737,2737,3
33080,33080,3
55144,55144,1
115916,115916,0
74119,74119,1
91019,91019,0
91135,91135,0
133072,133072,3
2861,2861,3
96236,96236,2
28771,28771,3
22786,22786,3
116290,116290,0
79070,79070,3
85010,85010,0
60276,60276,1
91497,91497,0
129374,129374,3
65449,65449,3
35599,35599,0
129989,129989,0
101011,101011,3
102559,102559,0
104683,104683,3
41517,41517,0
120027,120027,0
89602,89602,0
124137,124137,3
112869,112869,0
101773,101773,3
27336,27336,0
107398,107398,0
8506,8506,0
62298,62298,3
60382,60382,1
51133,51133,0
6334,6334,3
97566,97566,0
81169,81169,3
97824,97824,1
129972,129972,0
95030,95030,3
1189,1189,0
131264,131264,0
94054,94054,0
130357,130357,3
132364,132364,0
51677,51677,3
122009,122009,0
44074,44074,3
55666,55666,0
54371,54371,3
48572,48572,0
132609,132609,0
10294,10294,0
128560,128560,3
8999,8999,0
20464,20464,3
23598,23598,0
71754,71754,3
70789,70789,3
101137,101137,3
125702,125702,0
108774,108774,0
123302,123302,0
60065,60065,3
93739,93739,0
64474,64474,0
42885,42885,0
85730,85730,0
21697,21697,0
96984,96984,2
26753,26753,1
84843,84843,3
122436,122436,3
57535,57535,3
119899,119899,3
59497,59497,0
106996,106996,3
84931,84931,0
64640,64640,0
37376,37376,0
97028,97028,2
130473,130473,3
89700,89700,0
77796,77796,3
11059,11059,0
108761,108761,3
102832,102832,0
116143,116143,3
45007,45007,0
118606,118606,0
128275,128275,3
436,436,0
52738,52738,3
126502,126502,1
47203,47203,0
84133,84133,0
8835,8835,3
86307,86307,4
49687,49687,0
99155,99155,0
124501,124501,4
82726,82726,0
50871,50871,3
104438,104438,0
34138,34138,0
8952,8952,0
98048,98048,0
33608,33608,0
73708,73708,3
92175,92175,0
12804,12804,1
83921,83921,3
94541,94541,1
41758,41758,0
96361,96361,2
27456,27456,3
53315,53315,0
25535,25535,0
10762,10762,1
110408,110408,3
50449,50449,3
83774,83774,0
38625,38625,0
107322,107322,0
72333,72333,3
115756,115756,0
87249,87249,0
32932,32932,1
100692,100692,3
64088,64088,0
37074,37074,0
87194,87194,0
46140,46140,3
110140,110140,0
3049,3049,1
1478,1478,0
62609,62609,0
57213,57213,0
67212,67212,3
125708,125708,0
47680,47680,0
65345,65345,0
38331,38331,0
97890,97890,0
117194,117194,0
26892,26892,0
131031,131031,0
139,139,3
1108,1108,0
111635,111635,0
60844,60844,0
132239,132239,0
58292,58292,3
130037,130037,0
87795,87795,0
115335,115335,4
132935,132935,3
55521,55521,0
10553,10553,0
46324,46324,1
116801,116801,3
53511,53511,3
15415,15415,3
32340,32340,3
27368,27368,3
71933,71933,0
50122,50122,0
37457,37457,3
82079,82079,3
84167,84167,3
57093,57093,1
54798,54798,0
61436,61436,0
51297,51297,1
87611,87611,0
32451,32451,0
75487,75487,3
19298,19298,3
6270,6270,3
81300,81300,3
83838,83838,0
23945,23945,1
87877,87877,3
44878,44878,1
61736,61736,3
15304,15304,3
51760,51760,0
20302,20302,0
127187,127187,0
114458,114458,3
106043,106043,3
110732,110732,0
129935,129935,0
55538,55538,0
47327,47327,3
15509,15509,1
32377,32377,3
6186,6186,3
23232,23232,0
115645,115645,1
12457,12457,0
22570,22570,3
19181,19181,0
79319,79319,0
87018,87018,0
49626,49626,3
38489,38489,0
93098,93098,3
48677,48677,3
107786,107786,3
86969,86969,3
79909,79909,0
33047,33047,3
3896,3896,3
14579,14579,3
24712,24712,0
87117,87117,0
110899,110899,0
131662,131662,0
93345,93345,3
93247,93247,0
127384,127384,3
100191,100191,3
28446,28446,3
37523,37523,3
116980,116980,4
28654,28654,3
4243,4243,3
124409,124409,0
52700,52700,0
104918,104918,3
19419,19419,0
88756,88756,3
48557,48557,3
127354,127354,3
130659,130659,0
110222,110222,0
29880,29880,0
67389,67389,0
109202,109202,3
72831,72831,0
10276,10276,0
50597,50597,0
28112,28112,3
20429,20429,0
31384,31384,0
112382,112382,3
81713,81713,1
103340,103340,0
117362,117362,3
132924,132924,1
15486,15486,3
66428,66428,3
35235,35235,0
2788,2788,3
98567,98567,3
24784,24784,0
25129,25129,0
79515,79515,3
8777,8777,3
6851,6851,3
86146,86146,3
92298,92298,3
13658,13658,1
59964,59964,0
134673,134673,3
118267,118267,0
134305,134305,0
123376,123376,0
21397,21397,3
54193,54193,3
21684,21684,0
59589,59589,3
114574,114574,0
12080,12080,0
7291,7291,3
99681,99681,0
22080,22080,3
95401,95401,3
3557,3557,3
62145,62145,0
68200,68200,0
18078,18078,0
30495,30495,0
34809,34809,1
88695,88695,0
45393,45393,3
78020,78020,0
70376,70376,0
80058,80058,0
53624,53624,1
99962,99962,0
59535,59535,0
125240,125240,3
130797,130797,3
25763,25763,1
93152,93152,0
25810,25810,0
803,803,0
106589,106589,0
92102,92102,3
127040,127040,0
23619,23619,3
88193,88193,3
77793,77793,3
111160,111160,0
89517,89517,3
41829,41829,0
128708,128708,3
68471,68471,3
44154,44154,4
39226,39226,3
27568,27568,0
92359,92359,0
48150,48150,3
63222,63222,0
76608,76608,3
63096,63096,3
17785,17785,0
69964,69964,0
54269,54269,3
11846,11846,0
98276,98276,1
131875,131875,0
85599,85599,0
89840,89840,0
64228,64228,0
68365,68365,3
35270,35270,0
3676,3676,3
90319,90319,3
2280,2280,1
92380,92380,0
78112,78112,1
50689,50689,3
118047,118047,0
31312,31312,0
7929,7929,3
95829,95829,0
89398,89398,0
107750,107750,0
17387,17387,0
41695,41695,0
125413,125413,0
64486,64486,1
49299,49299,0
81044,81044,3
113346,113346,0
128043,128043,3
29896,29896,0
71477,71477,0
118352,118352,0
61393,61393,0
856,856,3
811,811,0
22251,22251,0
25174,25174,0
83980,83980,3
78534,78534,3
102467,102467,3
7781,7781,3
43588,43588,3
114564,114564,3
54419,54419,0
122384,122384,0
105880,105880,0
10312,10312,0
134355,134355,3
114870,114870,0
26189,26189,0
116163,116163,3
96989,96989,2
27291,27291,0
88510,88510,3
44521,44521,0
55260,55260,0
104354,104354,0
6974,6974,3
119692,119692,0
25366,25366,1
84234,84234,0
93412,93412,0
126207,126207,0
35735,35735,0
30250,30250,0
53925,53925,0
13462,13462,1
85428,85428,0
27471,27471,0
86404,86404,0
102101,102101,0
93663,93663,1
57576,57576,0
119261,119261,3
94195,94195,0
4813,4813,3
5519,5519,3
43136,43136,0
573,573,3
56457,56457,3
128283,128283,3
50158,50158,0
70971,70971,3
121515,121515,0
101955,101955,0
7168,7168,3
106715,106715,3
92994,92994,0
22465,22465,3
53417,53417,3
14247,14247,0
83158,83158,0
102872,102872,3
23507,23507,0
119724,119724,0
19670,19670,0
75996,75996,3
67715,67715,0
98709,98709,3
23145,23145,0
82977,82977,0
8686,8686,0
98081,98081,3
1717,1717,4
118615,118615,0
110308,110308,1
86410,86410,3
60060,60060,3
97878,97878,0
107245,107245,0
31719,31719,0
124267,124267,3
104197,104197,3
14643,14643,1
55487,55487,0
97085,97085,2
33108,33108,1
57950,57950,3
64015,64015,0
6138,6138,3
44742,44742,3
105538,105538,0
28072,28072,3
27427,27427,3
78187,78187,3
100791,100791,1
47884,47884,3
62704,62704,0
72253,72253,0
79085,79085,1
113902,113902,0
40049,40049,3
74250,74250,3
96486,96486,2
52866,52866,3
95542,95542,0
26652,26652,3
39966,39966,0
111698,111698,3
103681,103681,3
48317,48317,1
38965,38965,0
35804,35804,0
95947,95947,3
72952,72952,3
36502,36502,1
86458,86458,0
67352,67352,0
25081,25081,0
44923,44923,0
45633,45633,0
105639,105639,0
7427,7427,3
101574,101574,0
19974,19974,0
58262,58262,4
113965,113965,0
4790,4790,3
122704,122704,0
51835,51835,3
102567,102567,0
66417,66417,3
28472,28472,3
61181,61181,0
106364,106364,0
62687,62687,3
35267,35267,0
84490,84490,0
89655,89655,0
25716,25716,1
43603,43603,3
80098,80098,0
8092,8092,3
34786,34786,0
105998,105998,0
775,775,3
77398,77398,3
66647,66647,0
98060,98060,0
84852,84852,0
128991,128991,3
92318,92318,0
24001,24001,0
32422,32422,0
121535,121535,0
40357,40357,1
83005,83005,3
25643,25643,3
116087,116087,3
73877,73877,3
94142,94142,3
29952,29952,0
20831,20831,3
32257,32257,0
40746,40746,3
18977,18977,3
66787,66787,0
103415,103415,0
118814,118814,0
60979,60979,3
99300,99300,1
49735,49735,1
97355,97355,0
65752,65752,3
71000,71000,3
13563,13563,3
103846,103846,3
132570,132570,1
64564,64564,0
45271,45271,0
61257,61257,0
66978,66978,3
76044,76044,0
29507,29507,0
47701,47701,0
86272,86272,0
328,328,0
112949,112949,0
119265,119265,3
52681,52681,0
87219,87219,3
85241,85241,0
128559,128559,3
82746,82746,1
36039,36039,0
112672,112672,0
112152,112152,3
2513,2513,3
55663,55663,3
135201,135201,0
96520,96520,2
27918,27918,0
36168,36168,0
38943,38943,3
84108,84108,3
53141,53141,0
10963,10963,0
37604,37604,3
65247,65247,0
42426,42426,0
52782,52782,0
25974,25974,3
131962,131962,0
20061,20061,0
80961,80961,0
85644,85644,0
129558,129558,3
105994,105994,0
57162,57162,0
88614,88614,3
28053,28053,3
85035,85035,3
24010,24010,0
9454,9454,0
5567,5567,3
18490,18490,3
38647,38647,0
23873,23873,0
110109,110109,1
101922,101922,0
78974,78974,3
28417,28417,3
122520,122520,0
19625,19625,0
134579,134579,3
124060,124060,0
116077,116077,0
72218,72218,0
46018,46018,0
90424,90424,0
53875,53875,3
132105,132105,0
57989,57989,3
123784,123784,3
127943,127943,3
34776,34776,3
96210,96210,2
124217,124217,0
70706,70706,0
55399,55399,3
13235,13235,1
108980,108980,3
119772,119772,3
80856,80856,3
50080,50080,3
42848,42848,0
130977,130977,3
91440,91440,1
88775,88775,0
21979,21979,0
71046,71046,3
7682,7682,3
4639,4639,3
49668,49668,0
134601,134601,0
123927,123927,0
35,35,0
87101,87101,0
119531,119531,3
12423,12423,0
77617,77617,0
67749,67749,0
28384,28384,3
51383,51383,0
112690,112690,3
120212,120212,0
97913,97913,0
52893,52893,0
43966,43966,0
71965,71965,1
6299,6299,3
76663,76663,0
42366,42366,3
35004,35004,0
95645,95645,3
79600,79600,0
93251,93251,0
25231,25231,3
11951,11951,3
121370,121370,0
73857,73857,3
75256,75256,0
70696,70696,0
35349,35349,0
117570,117570,3
90267,90267,0
126966,126966,3
20787,20787,0
130806,130806,3
41276,41276,0
45758,45758,0
116936,116936,3
122655,122655,0
44118,44118,0
47745,47745,3
123153,123153,0
100039,100039,0
13564,13564,3
21036,21036,3
37629,37629,0
30187,30187,0
13282,13282,0
44909,44909,0
101873,101873,0
22070,22070,0
88152,88152,0
57376,57376,1
133675,133675,0
63322,63322,0
84107,84107,3
85063,85063,0
31486,31486,0
66165,66165,3
69250,69250,3
47414,47414,1
104937,104937,3
128695,128695,0
51118,51118,3
66578,66578,0
39031,39031,3
72734,72734,0
65002,65002,0
125260,125260,3
130416,130416,0
54940,54940,0
96609,96609,2
40092,40092,0
32883,32883,3
42644,42644,0
117680,117680,3
90079,90079,1
2783,2783,3
47654,47654,3
35067,35067,0
10513,10513,3
84140,84140,0
5707,5707,3
24135,24135,0
15837,15837,1
45655,45655,0
886,886,0
54548,54548,3
8270,8270,3
128314,128314,3
46382,46382,0
55924,55924,3
38175,38175,0
49906,49906,0
7298,7298,3
97866,97866,3
120697,120697,0
101686,101686,3
25614,25614,3
8449,8449,3
13909,13909,0
72457,72457,0
118076,118076,3
64492,64492,1
23126,23126,3
16695,16695,1
36904,36904,0
115758,115758,0
85584,85584,0
128328,128328,0
68961,68961,0
42540,42540,3
63622,63622,3
59872,59872,3
89274,89274,0
98055,98055,3
68221,68221,0
52002,52002,0
123820,123820,3
47549,47549,3
31615,31615,1
5772,5772,3
100902,100902,3
105827,105827,3
64769,64769,0
48873,48873,1
124251,124251,4
71277,71277,0
73814,73814,0
57921,57921,0
90483,90483,1
63343,63343,3
89914,89914,0
64421,64421,0
15697,15697,3
64232,64232,0
83660,83660,3
11133,11133,3
42859,42859,0
89657,89657,3
91620,91620,0
30062,30062,0
6093,6093,3
40257,40257,0
97825,97825,0
115878,115878,0
68874,68874,3
8926,8926,3
103824,103824,0
84319,84319,3
104284,104284,1
44834,44834,3
8667,8667,0
112276,112276,0
65688,65688,3
111551,111551,1
48565,48565,0
85755,85755,3
57680,57680,0
6031,6031,3
81973,81973,0
82868,82868,0
74173,74173,0
78964,78964,0
129181,129181,3
10436,10436,0
9526,9526,1
102392,102392,0
63816,63816,0
133029,133029,0
25913,25913,0
115932,115932,3
79440,79440,0
127571,127571,1
81576,81576,3
20562,20562,3
80793,80793,3
66842,66842,0
78192,78192,0
53182,53182,0
115455,115455,3
82703,82703,3
1032,1032,3
36117,36117,0
59104,59104,0
134535,134535,0
21973,21973,3
42716,42716,0
46872,46872,0
62483,62483,3
42806,42806,0
74214,74214,3
133673,133673,3
99424,99424,3
89061,89061,1
99420,99420,0
37090,37090,3
6418,6418,3
54789,54789,1
6006,6006,3
129608,129608,0
83723,83723,0
91188,91188,0
51041,51041,0
48144,48144,0
125947,125947,3
24753,24753,0
29946,29946,0
87217,87217,3
17520,17520,3
68651,68651,0
76660,76660,3
9122,9122,0
128574,128574,3
84563,84563,0
124307,124307,3
20130,20130,3
130905,130905,0
120367,120367,0
125575,125575,0
43814,43814,0
122128,122128,0
64534,64534,0
21243,21243,0
56376,56376,3
51593,51593,0
54636,54636,0
44212,44212,0
36889,36889,3
39004,39004,1
14636,14636,0
60073,60073,1
63509,63509,0
85123,85123,3
22321,22321,1
72159,72159,3
52562,52562,0
52432,52432,0
131126,131126,3
61133,61133,0
58938,58938,0
112527,112527,0
30933,30933,0
92644,92644,0
46338,46338,3
77046,77046,0
8636,8636,0
86259,86259,3
28406,28406,3
44461,44461,3
24554,24554,0
130269,130269,3
128323,128323,1
23369,23369,1
120418,120418,0
39343,39343,3
22350,22350,0
68370,68370,0
6498,6498,3
114546,114546,0
134690,134690,0
68423,68423,0
16667,16667,3
107494,107494,3
23579,23579,0
94748,94748,3
27545,27545,0
24775,24775,3
1219,1219,0
108155,108155,0
72975,72975,0
15693,15693,1
114405,114405,0
89671,89671,0
97381,97381,0
60868,60868,0
128754,128754,0
45508,45508,0
10049,10049,0
95669,95669,0
20173,20173,0
72121,72121,0
5106,5106,3
30326,30326,0
81385,81385,0
112308,112308,0
18492,18492,0
60431,60431,3
80726,80726,1
53660,53660,0
10767,10767,1
65822,65822,0
80080,80080,0
87769,87769,0
113748,113748,3
55086,55086,0
135039,135039,0
61912,61912,0
3713,3713,3
36886,36886,0
100705,100705,0
10813,10813,3
2609,2609,0
80782,80782,0
109069,109069,0
76751,76751,3
29901,29901,0
80180,80180,0
12071,12071,0
79916,79916,0
94429,94429,3
132705,132705,3
87239,87239,0
30848,30848,0
4293,4293,3
101840,101840,0
3235,3235,3
120493,120493,1
130483,130483,1
18563,18563,0
64701,64701,3
31255,31255,0
39649,39649,3
19839,19839,0
96457,96457,2
106776,106776,0
13524,13524,0
91063,91063,3
73961,73961,0
25783,25783,0
107393,107393,0
66926,66926,0
38204,38204,3
97056,97056,2
44048,44048,0
43501,43501,3
50371,50371,1
123136,123136,0
14555,14555,0
103568,103568,1
74949,74949,0
14038,14038,0
20248,20248,3
74252,74252,3
75311,75311,0
59564,59564,0
48769,48769,3
65176,65176,3
98037,98037,0
40359,40359,0
13314,13314,0
35083,35083,0
36037,36037,0
122382,122382,1
134800,134800,0
93836,93836,1
62961,62961,0
46223,46223,1
28607,28607,3
99149,99149,0
51666,51666,3
119591,119591,0
43707,43707,0
49428,49428,3
116885,116885,0
104021,104021,0
12966,12966,0
107485,107485,3
46061,46061,0
110965,110965,3
57018,57018,0
124726,124726,0
122308,122308,0
21154,21154,0
53116,53116,3
333,333,0
78139,78139,0
8295,8295,3
65484,65484,1
88787,88787,3
112248,112248,0
73536,73536,0
92849,92849,0
95228,95228,0
46759,46759,3
22613,22613,1
94045,94045,3
49448,49448,0
27876,27876,0
2086,2086,3
52416,52416,0
55860,55860,3
131854,131854,0
116674,116674,3
14755,14755,3
48525,48525,3
36841,36841,0
135214,135214,0
111358,111358,0
87374,87374,1
89894,89894,3
35761,35761,3
32560,32560,0
31622,31622,0
126821,126821,1
23538,23538,3
7077,7077,3
75887,75887,1
133748,133748,0
33214,33214,0
112740,112740,1
54611,54611,0
35354,35354,0
68403,68403,3
76078,76078,0
76308,76308,0
50505,50505,0
112067,112067,3
25459,25459,0
124811,124811,3
114294,114294,0
36563,36563,0
81290,81290,3
38750,38750,3
14998,14998,0
131917,131917,0
123817,123817,1
12187,12187,3
135495,135495,0
37263,37263,0
62228,62228,0
109749,109749,3
132651,132651,0
35857,35857,0
40212,40212,0
27323,27323,0
15626,15626,3
49486,49486,0
43138,43138,0
42741,42741,0
13321,13321,0
129108,129108,0
81425,81425,0
30637,30637,0
23330,23330,0
38600,38600,0
82414,82414,3
65466,65466,0
38564,38564,3
24498,24498,3
17168,17168,3
9590,9590,0
118578,118578,0
81933,81933,3
124507,124507,0
39973,39973,0
58964,58964,1
70262,70262,0
44148,44148,0
75638,75638,0
9197,9197,3
113496,113496,0
25418,25418,0
92729,92729,0
92336,92336,3
30724,30724,0
52194,52194,1
130511,130511,0
106797,106797,1
48118,48118,0
93045,93045,0
58196,58196,3
14077,14077,3
133762,133762,3
92978,92978,3
123522,123522,3
60764,60764,0
31810,31810,3
5625,5625,3
44734,44734,0
110698,110698,0
121720,121720,1
112891,112891,0
34317,34317,0
67527,67527,3
102516,102516,3
113349,113349,0
67721,67721,3
97339,97339,0
112814,112814,0
126941,126941,3
48611,48611,3
11906,11906,0
93971,93971,3
106693,106693,3
99879,99879,3
79223,79223,3
114174,114174,0
47677,47677,3
15496,15496,0
64639,64639,0
35365,35365,0
126258,126258,3
66631,66631,3
81114,81114,3
14724,14724,0
1139,1139,3
107564,107564,0
45260,45260,0
65193,65193,3
34351,34351,3
121792,121792,1
54247,54247,3
85064,85064,0
66402,66402,3
75340,75340,1
74546,74546,0
66854,66854,0
50941,50941,3
108284,108284,0
23917,23917,3
110020,110020,0
111250,111250,0
76314,76314,0
117633,117633,3
68167,68167,1
71292,71292,0
122736,122736,0
106231,106231,0
26667,26667,0
70468,70468,3
131943,131943,3
6912,6912,3
51223,51223,3
45715,45715,3
38668,38668,3
28366,28366,3
22432,22432,1
114388,114388,1
86500,86500,3
67978,67978,0
68330,68330,0
132930,132930,1
71747,71747,3
128230,128230,1
86263,86263,0
63016,63016,3
105749,105749,1
100540,100540,3
17765,17765,0
949,949,3
101993,101993,0
51385,51385,0
130733,130733,0
43483,43483,1
18106,18106,3
68581,68581,0
106935,106935,0
106569,106569,3
2029,2029,1
48502,48502,0
130645,130645,0
82679,82679,3
102245,102245,0
18939,18939,0
65003,65003,3
62407,62407,0
40620,40620,0
7462,7462,3
134619,134619,0
78992,78992,0
116587,116587,3
7633,7633,3
72478,72478,3
91024,91024,0
66468,66468,0
91160,91160,0
89093,89093,0
47676,47676,0
48012,48012,3
130213,130213,3
60863,60863,0
50905,50905,0
96476,96476,2
61873,61873,3
55396,55396,0
36082,36082,0
5832,5832,3
91854,91854,0
50433,50433,0
63570,63570,1
23048,23048,0
66602,66602,0
71534,71534,0
33778,33778,0
97946,97946,0
42501,42501,3
18607,18607,0
24477,24477,0
40608,40608,0
112514,112514,0
15392,15392,3
38836,38836,0
20235,20235,3
33259,33259,3
125635,125635,0
7881,7881,3
31758,31758,3
122770,122770,0
15501,15501,0
88937,88937,0
2152,2152,0
53443,53443,3
118529,118529,0
33607,33607,0
20086,20086,0
37561,37561,0
110376,110376,3
123034,123034,1
36215,36215,0
81505,81505,3
120250,120250,0
91560,91560,0
100790,100790,0
50982,50982,0
2132,2132,0
35659,35659,3
118748,118748,0
37217,37217,3
23025,23025,3
106818,106818,0
25670,25670,3
11446,11446,3
79825,79825,0
100163,100163,0
68884,68884,0
128503,128503,1
11241,11241,3
134135,134135,3
131301,131301,0
14044,14044,0
104606,104606,1
22512,22512,3
56844,56844,3
124943,124943,0
76561,76561,4
35499,35499,3
75233,75233,0
66049,66049,3
52260,52260,3
76746,76746,1
6865,6865,3
63787,63787,0
988,988,1
50675,50675,0
126827,126827,1
40418,40418,3
23024,23024,0
787,787,3
11177,11177,0
95145,95145,0
85619,85619,0
130152,130152,0
54295,54295,0
85900,85900,3
124160,124160,3
110513,110513,3
33210,33210,0
118339,118339,0
125636,125636,0
125088,125088,3
