,Unnamed: 0,2,27,36,37
21133,106932,0.8823529411764706,1.0,0.05,0.05
31266,1232,0.2352941176470588,1.0,0.0,0.0
51819,69543,0.2352941176470588,1.0,0.0,0.0
9645,96591,0.8823529411764706,0.0,1.0,1.0
67817,94520,0.2352941176470588,1.0,0.0,0.0
52426,122085,0.8823529411764706,0.02,0.0,0.0
33091,104497,0.7058823529411764,0.54,1.0,1.0
71575,20773,0.2352941176470588,1.0,0.0,0.0
63154,99878,0.2352941176470588,1.0,0.0,0.0
18035,9178,0.2352941176470588,1.0,0.0,0.0
21793,69246,0.2352941176470588,1.0,0.0,0.0
47556,116818,0.2352941176470588,1.0,0.0,0.0
75687,110187,0.7058823529411764,0.13,1.0,1.0
22758,7579,0.7058823529411764,1.0,1.0,1.0
4313,37647,0.2352941176470588,1.0,0.0,0.0
18949,132257,0.7058823529411764,0.02,1.0,1.0
82298,125609,0.7058823529411764,0.1,1.0,1.0
76644,104765,0.2352941176470588,1.0,0.0,0.0
53734,113265,0.2352941176470588,1.0,0.0,0.0
25859,2216,0.2352941176470588,1.0,0.0,0.0
12139,23114,0.2352941176470588,1.0,0.01,0.0
1990,102205,0.2352941176470588,1.0,0.2,0.0
11272,32364,0.7058823529411764,0.03,1.0,1.0
33120,14539,0.2352941176470588,0.25,0.0,0.0
15727,113060,0.4705882352941176,1.0,0.01,0.01
42147,96658,0.8823529411764706,0.0,0.99,1.0
73736,38278,0.2352941176470588,1.0,0.0,0.0
61543,46741,0.2352941176470588,1.0,0.0,0.0
53471,7203,0.7058823529411764,1.0,1.0,1.0
49382,129010,0.7058823529411764,0.09,1.0,1.0
38942,109908,0.2352941176470588,1.0,0.0,0.0
43637,133130,0.9411764705882352,0.01,0.0,0.0
33839,96632,0.8823529411764706,0.0,1.0,1.0
11615,81143,0.7058823529411764,0.05,1.0,1.0
61085,3665,0.7058823529411764,1.0,1.0,1.0
33143,39799,0.7058823529411764,0.22,1.0,0.97
88101,2568,0.7058823529411764,0.05,1.0,1.0
37182,23903,0.2352941176470588,1.0,0.0,0.0
22373,125523,0.2352941176470588,0.67,0.0,0.0
52033,6959,0.7058823529411764,1.0,1.0,1.0
40448,77526,0.7058823529411764,0.35,1.0,1.0
27701,89309,0.2352941176470588,1.0,0.0,0.0
87348,125733,0.2352941176470588,1.0,0.0,0.0
25994,46175,0.2352941176470588,1.0,0.0,0.0
20961,90507,0.7058823529411764,0.04,1.0,1.0
48240,2896,0.2352941176470588,1.0,0.0,0.0
48342,93939,0.7058823529411764,1.0,0.0,0.0
5114,51247,0.7058823529411764,0.04,1.0,1.0
10936,13389,0.7058823529411764,0.06,1.0,1.0
36234,115781,0.2352941176470588,1.0,0.0,0.0
24,15721,0.7058823529411764,0.03,1.0,1.0
69137,15303,0.8823529411764706,0.04,0.0,0.0
67586,51337,0.2352941176470588,1.0,0.0,0.0
29691,84249,0.7058823529411764,0.01,1.0,1.0
30547,95913,0.7058823529411764,0.12,1.0,1.0
65384,77608,0.2352941176470588,1.0,0.0,0.0
63160,99258,0.2352941176470588,1.0,0.0,0.0
19730,66511,0.2352941176470588,1.0,0.0,0.0
5546,3724,0.7058823529411764,1.0,1.0,1.0
39638,50560,0.2352941176470588,1.0,0.0,0.0
4399,126505,0.2352941176470588,1.0,0.0,0.0
61093,114652,0.2352941176470588,0.5,0.0,0.0
26462,29905,0.1176470588235294,1.0,1.0,1.0
26922,45556,0.7058823529411764,0.25,1.0,1.0
52843,2272,0.8823529411764706,0.01,0.03,0.0
57519,116090,0.2352941176470588,1.0,0.0,0.0
86697,119273,0.2352941176470588,1.0,0.0,0.0
22934,39401,0.2352941176470588,1.0,0.0,0.0
66515,43715,0.2352941176470588,1.0,0.0,0.0
20217,764,0.2352941176470588,1.0,0.0,0.01
29931,3740,0.7058823529411764,1.0,1.0,1.0
8051,1967,0.7058823529411764,0.03,1.0,1.0
80188,119547,0.2352941176470588,1.0,0.0,0.0
23282,111035,0.7058823529411764,0.19,1.0,1.0
60116,5391,0.7058823529411764,1.0,1.0,1.0
69068,85517,0.2352941176470588,1.0,0.0,0.0
78062,61562,0.7058823529411764,0.07,1.0,1.0
61444,131123,0.7058823529411764,0.07,1.0,1.0
74416,82104,0.7058823529411764,0.15,1.0,1.0
5483,72326,0.7058823529411764,0.18,1.0,1.0
48470,128996,0.2352941176470588,1.0,0.0,0.01
72848,7970,0.7058823529411764,1.0,1.0,1.0
39649,1838,0.2352941176470588,1.0,0.0,0.0
82211,61646,0.2352941176470588,1.0,0.0,0.0
31810,49885,0.8823529411764706,1.0,0.0,0.0
81366,95119,0.7058823529411764,0.22,1.0,1.0
15268,95543,0.2352941176470588,1.0,0.01,0.01
67681,89891,0.2352941176470588,1.0,0.0,0.0
25659,32344,0.2352941176470588,1.0,0.0,0.0
4665,113277,0.2352941176470588,1.0,0.0,0.0
58490,13176,0.2352941176470588,1.0,0.0,0.0
75971,124417,0.2352941176470588,1.0,0.0,0.0
3427,96156,0.7058823529411764,0.08,1.0,1.0
22492,5850,0.7058823529411764,1.0,1.0,1.0
58460,87657,0.8823529411764706,0.0,0.27,0.0
70193,20511,0.2352941176470588,1.0,0.0,0.0
62528,3072,0.2352941176470588,1.0,0.0,0.0
3898,126989,0.7058823529411764,0.03,1.0,1.0
86620,22612,0.2352941176470588,1.0,0.0,0.0
2840,74669,0.2352941176470588,1.0,0.0,0.0
45662,71348,0.2352941176470588,0.17,0.0,0.0
19031,76384,0.7058823529411764,0.13,1.0,1.0
33830,99153,0.2352941176470588,1.0,0.0,0.0
85938,118362,0.7058823529411764,0.32,1.0,1.0
52419,87284,0.2352941176470588,1.0,0.0,0.0
31959,30319,0.2352941176470588,1.0,1.0,1.0
34596,5976,0.7058823529411764,1.0,1.0,1.0
22128,9379,0.7058823529411764,0.06,1.0,1.0
65119,52648,0.2352941176470588,1.0,0.0,0.0
84048,67708,0.2352941176470588,1.0,0.0,0.0
24059,135157,0.8823529411764706,0.5,0.0,0.0
180,71976,0.8823529411764706,0.05,0.0,0.0
27896,126362,0.7058823529411764,0.04,1.0,1.0
35148,92134,0.8823529411764706,0.0,0.09,0.0
51912,36462,1.0,1.0,0.0,0.0
47618,94504,0.8823529411764706,0.04,0.0,0.0
61524,36116,0.7058823529411764,0.06,1.0,1.0
144,30829,0.2352941176470588,1.0,0.5,0.5
82238,46015,0.2352941176470588,1.0,0.0,0.01
21981,108330,0.7058823529411764,1.0,1.0,1.0
82850,118455,1.0,1.0,0.0,0.0
87166,51226,0.7058823529411764,0.03,1.0,1.0
27024,91285,0.7058823529411764,0.08,1.0,1.0
72829,116916,0.7058823529411764,0.02,1.0,1.0
10359,53829,0.2352941176470588,1.0,0.0,0.0
41696,51392,0.8823529411764706,0.14,0.0,0.0
35024,72873,0.2352941176470588,1.0,0.0,0.0
46184,15771,0.7058823529411764,0.08,1.0,1.0
31264,24311,0.7058823529411764,0.05,1.0,1.0
17683,14226,0.2352941176470588,0.67,0.0,0.0
22186,114475,0.8823529411764706,1.0,0.0,0.0
62095,90680,0.2352941176470588,1.0,0.0,0.0
62128,11809,0.2352941176470588,1.0,0.0,0.0
4325,91495,0.8823529411764706,0.05,0.0,0.0
1192,121853,0.7058823529411764,0.09,1.0,1.0
9352,38425,0.2352941176470588,1.0,0.02,0.01
5053,58903,0.7058823529411764,1.0,1.0,1.0
82523,40701,0.2352941176470588,1.0,0.0,0.0
42784,32601,0.8823529411764706,0.01,0.0,0.0
6424,91599,0.2352941176470588,1.0,0.57,0.72
6417,83937,0.2352941176470588,1.0,0.0,0.0
83224,82214,0.2352941176470588,1.0,0.0,0.0
79086,23977,0.2352941176470588,1.0,0.0,0.0
84923,14955,0.2352941176470588,1.0,0.0,0.0
74934,99173,0.9411764705882352,1.0,0.0,0.0
14912,117049,0.7058823529411764,0.19,1.0,1.0
30153,15597,0.2352941176470588,1.0,0.0,0.0
54885,15925,0.2352941176470588,1.0,0.0,0.0
34780,62136,0.2352941176470588,1.0,0.0,0.0
51390,97364,0.2352941176470588,1.0,0.4,0.4
2941,38505,0.8823529411764706,1.0,0.0,0.0
62792,60378,0.2352941176470588,1.0,0.0,0.0
43331,43848,0.2352941176470588,1.0,0.0,0.0
5929,41611,0.8823529411764706,1.0,0.0,0.0
38680,38821,0.7058823529411764,0.13,1.0,1.0
68195,74225,0.7058823529411764,0.05,1.0,1.0
88007,106081,0.2352941176470588,1.0,0.0,0.0
84051,41486,0.7058823529411764,0.1,1.0,1.0
36628,109038,0.7058823529411764,0.08,1.0,1.0
69458,134824,0.7058823529411764,0.16,1.0,1.0
62852,133731,0.2352941176470588,1.0,0.0,0.0
82992,4321,0.7058823529411764,1.0,1.0,1.0
7727,24250,0.2352941176470588,1.0,0.0,0.0
41377,5917,0.7058823529411764,1.0,1.0,1.0
29609,47390,0.2352941176470588,1.0,0.0,0.0
80940,118454,0.2352941176470588,1.0,0.0,0.0
6394,103453,0.2352941176470588,1.0,0.02,0.0
71313,22580,0.2352941176470588,1.0,0.02,0.07
40531,135452,0.2352941176470588,1.0,0.0,0.0
72458,17175,0.8823529411764706,0.0,0.08,0.0
28112,49679,0.7058823529411764,0.04,1.0,1.0
47364,11223,0.2352941176470588,1.0,0.0,0.0
5537,121991,0.2352941176470588,1.0,0.0,0.0
67096,132488,0.2352941176470588,0.99,0.0,0.0
42303,77111,0.7058823529411764,0.05,1.0,1.0
12114,55559,0.2352941176470588,1.0,0.0,0.0
4012,21830,0.7058823529411764,0.33,0.99,1.0
36685,37103,0.2352941176470588,1.0,0.0,0.0
1326,120732,0.2352941176470588,1.0,0.0,0.0
9424,106157,0.7058823529411764,0.02,1.0,1.0
10562,12,0.2352941176470588,1.0,0.0,0.0
4591,85191,0.2352941176470588,1.0,0.0,0.0
18370,49255,0.7058823529411764,0.01,1.0,1.0
76602,96950,0.8823529411764706,0.0,1.0,1.0
30883,70256,0.2352941176470588,1.0,0.0,0.0
71592,3206,0.2352941176470588,1.0,0.0,0.0
73683,99865,0.7058823529411764,0.04,1.0,1.0
78019,33545,0.7058823529411764,0.06,1.0,1.0
44314,126802,0.8823529411764706,1.0,0.0,0.0
30016,63543,0.2352941176470588,1.0,0.0,0.0
43412,29356,0.2352941176470588,1.0,0.25,0.25
38552,111382,0.2352941176470588,1.0,0.0,0.0
642,83638,0.2352941176470588,1.0,0.0,0.0
69648,68812,0.8823529411764706,0.08,0.0,0.0
1427,131050,0.2352941176470588,1.0,0.0,0.0
18329,71353,0.2352941176470588,1.0,0.0,0.0
25182,38992,0.7058823529411764,0.06,1.0,1.0
24888,9031,0.2352941176470588,1.0,0.0,0.0
49980,47423,0.2352941176470588,1.0,0.0,0.0
14875,53136,0.2352941176470588,1.0,0.0,0.0
19010,128771,0.2352941176470588,1.0,0.03,0.01
56142,49835,0.2352941176470588,0.07,0.1,0.0
39722,118118,0.7058823529411764,0.13,1.0,1.0
1088,11538,0.2352941176470588,1.0,0.0,0.0
33364,57587,0.2352941176470588,0.2,0.0,0.0
4397,27356,0.2352941176470588,1.0,0.0,0.0
2992,52069,0.2352941176470588,1.0,0.0,0.0
39874,24701,0.2352941176470588,1.0,0.0,0.01
66756,96738,0.8823529411764706,0.0,1.0,1.0
25955,69544,0.2352941176470588,1.0,0.0,0.0
81925,95167,0.2352941176470588,1.0,0.0,0.0
78207,69180,0.2352941176470588,1.0,0.0,0.0
54256,10795,0.8823529411764706,0.08,0.0,0.0
31978,67060,0.2352941176470588,1.0,0.0,0.0
23121,85561,1.0,0.0,0.0,0.0
42562,66562,0.7058823529411764,0.05,1.0,1.0
9728,95175,0.7058823529411764,0.03,1.0,1.0
47017,33227,0.7058823529411764,0.18,1.0,1.0
51684,47119,0.7058823529411764,0.08,1.0,1.0
20544,26231,0.2352941176470588,1.0,0.0,0.0
46682,92348,0.2352941176470588,1.0,0.0,0.0
77015,126142,0.7058823529411764,0.15,1.0,1.0
43748,21933,0.2352941176470588,1.0,0.0,0.0
73120,100459,0.2352941176470588,1.0,0.0,0.0
83688,71576,0.2352941176470588,1.0,0.0,0.0
53936,106169,0.2352941176470588,1.0,0.0,0.0
70961,5378,0.7058823529411764,1.0,1.0,1.0
58007,43898,0.2352941176470588,1.0,0.02,0.01
57902,5151,0.7058823529411764,1.0,1.0,1.0
68777,108263,0.2352941176470588,1.0,0.0,0.0
15871,112309,0.2352941176470588,1.0,0.0,0.0
14276,59982,0.2352941176470588,1.0,0.0,0.0
15047,15579,0.7058823529411764,0.38,1.0,1.0
50766,68919,0.7058823529411764,0.04,1.0,1.0
28118,116039,0.2352941176470588,1.0,0.0,0.0
57356,64936,0.2352941176470588,1.0,0.0,0.0
65749,75852,0.7058823529411764,0.1,1.0,1.0
71561,4076,0.7058823529411764,1.0,1.0,1.0
20282,5369,0.7058823529411764,1.0,1.0,1.0
1647,43846,0.7058823529411764,0.04,1.0,1.0
39620,11183,0.2352941176470588,1.0,0.0,0.0
83335,3775,0.7058823529411764,1.0,1.0,1.0
59505,100601,0.2352941176470588,1.0,0.0,0.0
80039,28615,0.7058823529411764,1.0,1.0,1.0
49740,13460,0.2352941176470588,1.0,0.0,0.0
71478,109062,0.7058823529411764,1.0,0.01,0.0
71283,39423,0.7058823529411764,0.04,1.0,1.0
81345,108721,0.2352941176470588,1.0,0.02,0.01
60967,97400,0.2352941176470588,1.0,0.0,0.0
34358,85214,0.2352941176470588,1.0,0.0,0.0
84577,44739,0.7058823529411764,0.06,1.0,1.0
65574,118099,0.7058823529411764,0.03,1.0,1.0
60265,53833,1.0,1.0,0.0,0.0
45859,81808,0.2352941176470588,1.0,0.0,0.0
74856,122803,0.2352941176470588,1.0,0.0,0.0
70801,105620,0.7058823529411764,0.15,1.0,1.0
6430,39639,0.2352941176470588,1.0,0.0,0.0
78562,14648,0.2352941176470588,1.0,0.0,0.0
68265,88567,0.2352941176470588,1.0,0.01,0.01
79957,85929,0.7058823529411764,0.24,1.0,1.0
2903,56498,0.7058823529411764,0.38,1.0,1.0
44202,5628,0.7058823529411764,1.0,1.0,1.0
14527,105681,0.8823529411764706,0.09,0.0,0.0
62055,38297,0.7058823529411764,0.17,1.0,1.0
17952,101903,0.2352941176470588,1.0,0.0,0.0
54723,26366,0.2352941176470588,1.0,0.0,0.0
49533,43935,0.2352941176470588,1.0,0.0,0.0
77415,125533,0.7058823529411764,0.2,1.0,1.0
38786,120453,0.7058823529411764,0.01,1.0,1.0
35217,61669,0.8823529411764706,1.0,0.0,0.0
11421,2652,0.2352941176470588,1.0,0.0,0.0
60685,30736,0.8235294117647058,1.0,1.0,1.0
84437,135299,0.2352941176470588,1.0,0.0,0.0
26262,31080,0.2352941176470588,1.0,0.66,0.5
79291,132041,0.7058823529411764,0.02,1.0,1.0
13863,56944,0.8823529411764706,0.0,0.06,0.0
83950,63014,0.7058823529411764,0.06,1.0,1.0
59498,85256,0.2352941176470588,1.0,0.0,0.0
65607,63830,0.7058823529411764,0.01,1.0,1.0
51183,69457,0.8823529411764706,0.08,0.0,0.0
33996,90878,0.7058823529411764,0.09,0.98,1.0
84344,20884,0.2352941176470588,1.0,0.0,0.0
66771,23279,0.2352941176470588,1.0,0.0,0.0
10735,67208,0.2352941176470588,1.0,0.0,0.0
10673,78721,0.2352941176470588,1.0,0.0,0.0
61178,73541,0.2352941176470588,1.0,0.0,0.0
68855,109641,0.2352941176470588,1.0,0.01,0.01
11365,60770,0.2352941176470588,1.0,0.0,0.0
18779,109988,0.2352941176470588,1.0,0.0,0.0
23635,107150,0.8823529411764706,0.13,0.0,0.0
70065,23707,0.2352941176470588,1.0,0.17,0.0
62954,30269,0.2352941176470588,1.0,0.16,0.16
46071,99392,0.7058823529411764,0.02,1.0,1.0
40008,99327,0.05882352941176471,1.0,0.02,0.03
28954,98950,0.7058823529411764,0.01,1.0,1.0
64396,9213,0.2352941176470588,1.0,0.0,0.0
65708,63627,0.2352941176470588,1.0,0.0,0.0
64025,45370,0.7058823529411764,0.13,1.0,1.0
32623,48880,0.8823529411764706,1.0,0.0,0.0
64584,71982,0.2352941176470588,1.0,0.0,0.0
72741,120907,0.2352941176470588,1.0,0.0,0.0
32120,87628,0.8823529411764706,0.5,0.0,0.0
62262,92712,0.7058823529411764,0.02,1.0,1.0
63439,96969,0.8823529411764706,0.0,1.0,1.0
8435,96945,0.8823529411764706,0.0,1.0,1.0
4488,84174,0.2352941176470588,0.31,0.0,0.0
49655,49001,0.7058823529411764,0.14,1.0,1.0
42566,71178,0.8823529411764706,0.05,0.0,0.0
27611,19907,0.2352941176470588,1.0,0.0,0.0
32144,81966,0.2352941176470588,0.2,0.0,0.0
32020,100034,0.2352941176470588,1.0,0.0,0.0
78253,67996,0.4705882352941176,1.0,0.12,0.5
84209,128447,0.2352941176470588,1.0,0.0,0.01
65394,121907,0.2352941176470588,1.0,0.0,0.0
77440,46336,0.2352941176470588,1.0,0.0,0.0
18359,54792,0.8823529411764706,0.05,0.0,0.0
26112,19032,0.2352941176470588,1.0,0.0,0.0
30149,92922,0.2352941176470588,1.0,0.0,0.0
68261,51434,0.2352941176470588,1.0,0.0,0.0
26900,123508,0.2352941176470588,1.0,0.0,0.0
1671,130759,0.2352941176470588,1.0,0.0,0.0
19526,26114,0.8823529411764706,0.1,0.0,0.0
33781,133583,0.7058823529411764,0.08,1.0,1.0
35181,31583,0.2352941176470588,1.0,0.0,0.0
71366,56690,0.7058823529411764,0.08,1.0,1.0
81476,107044,0.2352941176470588,1.0,0.0,0.0
67437,83568,0.8823529411764706,0.02,0.0,0.0
20718,132856,0.7058823529411764,0.01,1.0,1.0
51107,45600,0.7058823529411764,0.02,1.0,1.0
50714,59823,0.7058823529411764,0.02,1.0,1.0
14297,67090,0.2352941176470588,1.0,0.01,0.0
44896,29666,0.7058823529411764,1.0,1.0,1.0
13809,31295,0.2352941176470588,1.0,0.13,0.13
38701,21275,0.8823529411764706,0.0,0.13,0.0
57453,115766,0.2352941176470588,1.0,0.0,0.0
56551,104806,0.2352941176470588,1.0,0.0,0.0
55306,103781,0.7058823529411764,0.02,1.0,1.0
21939,13939,1.0,1.0,0.0,0.0
55143,122753,0.2352941176470588,1.0,0.0,0.0
8671,80234,0.7058823529411764,0.07,1.0,1.0
3524,249,0.2352941176470588,1.0,0.0,0.0
30891,133057,0.2352941176470588,1.0,0.0,0.0
69885,4787,0.7058823529411764,1.0,1.0,1.0
58534,14698,0.2352941176470588,1.0,0.0,0.0
73050,47366,0.7058823529411764,0.03,1.0,1.0
35051,38807,0.7058823529411764,0.0,1.0,1.0
452,113164,0.2352941176470588,1.0,0.0,0.0
79704,59846,0.7058823529411764,0.01,1.0,1.0
74415,30436,0.7058823529411764,1.0,1.0,1.0
83785,11781,0.2352941176470588,1.0,0.0,0.0
8746,8721,0.2352941176470588,1.0,0.0,0.0
66546,34143,0.2352941176470588,1.0,0.0,0.0
18215,49399,0.7058823529411764,0.1,1.0,1.0
26766,11013,0.2352941176470588,1.0,0.67,0.79
75345,97553,0.2352941176470588,1.0,0.0,0.0
47451,3247,0.2352941176470588,1.0,0.81,0.0
40598,82887,0.7058823529411764,0.06,1.0,1.0
11035,11475,0.2352941176470588,1.0,0.0,0.0
58797,111184,0.2352941176470588,1.0,0.0,0.0
43572,30103,0.1176470588235294,1.0,0.33,0.33
12345,90848,0.7058823529411764,1.0,1.0,1.0
77437,127044,0.2352941176470588,1.0,0.0,0.0
29271,28293,0.7058823529411764,1.0,1.0,1.0
31633,101399,0.7058823529411764,0.17,1.0,1.0
16954,43212,0.7058823529411764,0.01,1.0,1.0
9289,1327,0.9411764705882352,0.07,0.0,0.0
15608,10527,0.2352941176470588,0.5,0.0,0.0
83529,116178,0.2352941176470588,1.0,0.01,0.0
56261,61760,0.2352941176470588,1.0,0.0,0.0
70266,72551,0.2352941176470588,1.0,0.0,0.0
9053,47839,0.2352941176470588,1.0,0.0,0.0
35439,11238,0.2352941176470588,1.0,0.0,0.02
20330,3510,0.2352941176470588,0.5,0.0,0.0
50545,82532,0.2352941176470588,1.0,0.0,0.0
31839,42447,0.2352941176470588,1.0,0.0,0.0
28413,43882,0.2352941176470588,1.0,0.0,0.0
26735,73912,0.2352941176470588,1.0,0.0,0.0
46160,113140,0.7058823529411764,0.08,1.0,1.0
29137,36548,0.2352941176470588,1.0,0.0,0.0
38451,64899,0.2352941176470588,0.08,0.03,0.0
33316,71780,1.0,1.0,0.0,0.0
5011,27405,0.2352941176470588,1.0,0.0,0.0
82316,42292,0.2352941176470588,1.0,0.0,0.0
68545,56319,0.2352941176470588,1.0,0.0,0.0
5924,25660,0.7058823529411764,0.07,1.0,1.0
45899,70050,0.2352941176470588,1.0,0.0,0.0
50520,70773,0.2352941176470588,1.0,0.0,0.0
24383,119146,0.2352941176470588,1.0,0.0,0.0
49022,9997,0.7058823529411764,0.06,1.0,1.0
66070,26723,0.2352941176470588,1.0,0.0,0.0
59253,113213,0.2352941176470588,1.0,0.0,0.0
68375,113508,0.2352941176470588,1.0,0.0,0.0
7877,22576,0.2352941176470588,1.0,0.0,0.0
14081,73121,0.2352941176470588,1.0,0.0,0.0
22476,11818,0.7058823529411764,0.1,1.0,1.0
77838,83161,0.8823529411764706,0.0,0.09,0.0
31384,57063,0.2352941176470588,1.0,0.0,0.0
25225,124765,0.7058823529411764,0.11,1.0,1.0
60862,134560,0.8823529411764706,0.24,0.0,0.0
76149,25105,0.7058823529411764,0.06,1.0,1.0
21844,1153,0.2352941176470588,1.0,0.0,0.0
86495,68619,0.2352941176470588,1.0,0.0,0.0
26970,28950,0.7058823529411764,1.0,1.0,1.0
7742,36586,0.7058823529411764,0.05,1.0,1.0
212,126518,0.7058823529411764,0.27,1.0,1.0
53111,131073,0.7058823529411764,0.05,1.0,1.0
20322,118336,0.2352941176470588,1.0,0.0,0.0
68863,80303,0.2352941176470588,1.0,0.06,0.0
69567,3086,0.7058823529411764,0.05,1.0,1.0
6617,121609,0.2352941176470588,1.0,0.0,0.0
12495,112251,0.7058823529411764,0.04,1.0,1.0
22183,39182,0.7058823529411764,0.07,1.0,1.0
21504,94954,0.2352941176470588,1.0,0.0,0.0
62773,25649,0.2352941176470588,1.0,0.0,0.0
85399,23989,0.2352941176470588,1.0,0.0,0.0
18147,51183,0.2352941176470588,1.0,0.0,0.0
72960,117486,0.7058823529411764,0.02,1.0,1.0
77851,62502,0.2352941176470588,1.0,0.0,0.0
1035,8386,0.7058823529411764,1.0,1.0,1.0
78825,72302,0.2352941176470588,1.0,0.0,0.0
13017,89586,0.7058823529411764,0.15,1.0,1.0
9199,48765,0.7058823529411764,0.04,1.0,1.0
60269,80759,0.7058823529411764,0.06,1.0,1.0
48374,76691,0.2352941176470588,1.0,0.0,0.0
32300,66104,0.7058823529411764,0.0,1.0,1.0
33048,8647,0.7058823529411764,0.07,1.0,1.0
67654,9217,0.2352941176470588,1.0,0.0,0.0
44966,18121,0.2352941176470588,1.0,0.0,0.0
55888,34902,0.7058823529411764,0.27,1.0,1.0
60705,31408,1.0,1.0,0.0,0.0
75850,102260,0.7058823529411764,0.1,1.0,1.0
28072,2475,0.2352941176470588,1.0,0.0,0.0
31956,30290,0.2352941176470588,1.0,0.5,0.5
77572,128705,0.2352941176470588,1.0,0.0,0.0
67240,101460,0.2352941176470588,1.0,0.0,0.0
60173,64091,0.2352941176470588,1.0,0.0,0.0
67676,69902,0.2352941176470588,1.0,0.0,0.0
60478,101223,0.7058823529411764,0.08,1.0,1.0
58524,79908,0.2352941176470588,1.0,0.0,0.0
41027,113297,0.7058823529411764,0.17,1.0,1.0
3847,83165,0.8823529411764706,0.08,0.0,0.0
83195,31601,0.9411764705882352,0.0,0.0,0.0
971,121597,0.2352941176470588,0.25,0.0,0.0
55310,103778,0.7058823529411764,0.01,1.0,1.0
62499,90011,0.2352941176470588,1.0,0.0,0.0
68952,10872,0.2352941176470588,1.0,0.0,0.0
23192,82985,0.7058823529411764,0.03,1.0,1.0
12555,69623,0.9411764705882352,0.06,0.0,0.0
50172,75210,0.2352941176470588,1.0,0.0,0.0
25213,53249,1.0,1.0,0.0,0.0
3414,7761,0.7058823529411764,1.0,1.0,1.0
87302,124085,0.7058823529411764,0.03,1.0,1.0
64313,19396,0.7058823529411764,0.07,1.0,1.0
60585,39453,0.2352941176470588,1.0,0.0,0.0
38266,98337,0.7058823529411764,0.03,1.0,1.0
62426,126313,0.7058823529411764,0.08,1.0,1.0
21289,90700,0.7058823529411764,0.07,1.0,1.0
52826,62787,0.2352941176470588,1.0,0.0,0.0
84831,130526,0.2352941176470588,1.0,0.0,0.0
83804,126613,0.7058823529411764,0.01,1.0,1.0
21336,71247,0.7058823529411764,0.03,1.0,1.0
25520,2748,0.2352941176470588,1.0,0.0,0.0
63492,17544,0.2352941176470588,1.0,0.0,0.0
37897,87046,0.7058823529411764,0.01,1.0,1.0
40514,29546,0.2352941176470588,1.0,0.25,0.25
76580,109034,0.8823529411764706,0.0,0.09,0.0
